timestamp,close,high,low,trade_count,open,volume,vwap
2016-01-04 05:00:00+00:00,32.37,32.58,32.04,56932,32.29,9777779,32.290167
2016-01-05 05:00:00+00:00,32.89,33.44,32.5,64465,32.98,13406139,33.024588
2016-01-06 05:00:00+00:00,31.53,32.5,31.16,70692,32.35,11606505,31.818124
2016-01-07 05:00:00+00:00,30.28,30.953,29.88,97956,30.74,16989171,30.346467
2016-01-08 05:00:00+00:00,29.63,30.7,29.565,60419,30.67,10461559,30.069429
2016-01-11 05:00:00+00:00,29.68,29.89,29.15,66676,29.66,10573217,29.537759
2016-01-12 05:00:00+00:00,30.18,30.62,29.97,72818,30.21,12726446,30.220633
2016-01-13 05:00:00+00:00,29.26,30.61,29.23,74978,30.41,13470243,29.763066
2016-01-14 05:00:00+00:00,28.67,29.0,27.82,87622,28.66,15600855,28.46052
2016-01-15 05:00:00+00:00,27.11,27.85,26.64,124072,27.52,22317440,27.135308
2016-01-19 05:00:00+00:00,27.33,28.45,27.215,72672,27.67,12143934,27.671861
2016-01-20 05:00:00+00:00,27.48,27.83,26.45,80360,26.81,12625592,27.113577
2016-01-21 05:00:00+00:00,27.8,28.23,27.21,78336,27.78,12304421,27.917249
2016-01-22 05:00:00+00:00,28.45,28.64,28.27,50312,28.33,6723067,28.42657
2016-01-25 05:00:00+00:00,28.42,28.765,28.355,43078,28.44,7018769,28.529158
2016-01-26 05:00:00+00:00,28.7,28.82,28.185,31720,28.48,6319276,28.604215
2016-01-27 05:00:00+00:00,28.36,28.745,27.815,41396,28.66,6071214,28.32368
2016-01-28 05:00:00+00:00,28.05,28.69,27.5,51273,28.59,7149845,27.89823
2016-01-29 05:00:00+00:00,29.29,29.345,28.18,47824,28.29,8813584,29.047758
2016-02-01 05:00:00+00:00,29.3,29.45,29.01,45972,29.26,7610589,29.252812
2016-02-02 05:00:00+00:00,28.06,29.15,27.86,50688,29.0,8817506,28.273082
2016-02-03 05:00:00+00:00,28.2,28.45,27.55,53675,28.28,8582110,28.020011
2016-02-04 05:00:00+00:00,28.21,28.85,27.93,65140,28.24,9019794,28.263539
2016-02-05 05:00:00+00:00,26.43,28.33,26.35,79976,28.02,16203512,26.807246
2016-02-08 05:00:00+00:00,25.22,26.16,24.85,100377,26.03,15792032,25.315225
2016-02-09 05:00:00+00:00,25.49,26.55,24.8,75229,24.92,10998113,25.724778
2016-02-10 05:00:00+00:00,25.43,26.39,25.29,57729,25.65,8631906,25.679082
2016-02-11 05:00:00+00:00,25.3,25.56,24.78,58963,24.78,9123837,25.21523
2016-02-12 05:00:00+00:00,25.73,25.78,24.75,52375,25.7,9115551,25.468257
2016-02-16 05:00:00+00:00,26.99,27.03,26.02,75038,26.1,12484099,26.668527
2016-02-17 05:00:00+00:00,27.66,27.92,27.22,97183,27.33,20596326,27.619278
2016-02-18 05:00:00+00:00,30.04,30.975,29.9,128532,29.93,29349418,30.267701
2016-02-19 05:00:00+00:00,30.44,30.71,29.65,72424,29.88,13842634,30.31013
2016-02-22 05:00:00+00:00,31.52,31.87,30.82,58609,30.88,9976544,31.51989
2016-02-23 05:00:00+00:00,31.6,31.9,31.12,52770,31.26,9703181,31.620443
2016-02-24 05:00:00+00:00,31.82,31.8679,30.6,51578,31.47,8644745,31.31025
2016-02-25 05:00:00+00:00,31.89,32.05,31.32,49546,31.94,8979799,31.623413
2016-02-26 05:00:00+00:00,31.68,32.1162,31.36,50014,32.04,9731232,31.619423
2016-02-29 05:00:00+00:00,31.36,32.02,31.34,47138,31.61,8685749,31.634795
2016-03-01 05:00:00+00:00,32.75,32.75,31.39,54847,31.44,9263550,32.376114
2016-03-02 05:00:00+00:00,32.94,33.06,32.51,41290,32.57,6070199,32.814463
2016-03-03 05:00:00+00:00,32.65,33.04,32.21,35300,32.9,7889424,32.532475
2016-03-04 05:00:00+00:00,32.55,32.93,32.3,31265,32.9,4621674,32.611758
2016-03-07 05:00:00+00:00,32.34,32.59,31.915,37652,32.37,6333730,32.269289
2016-03-08 05:00:00+00:00,31.75,32.2,31.645,40105,32.01,7699249,31.845479
2016-03-09 05:00:00+00:00,31.73,32.075,31.32,37796,32.03,5819932,31.614749
2016-03-10 05:00:00+00:00,31.68,32.1,31.04,37406,31.92,7317881,31.548112
2016-03-11 05:00:00+00:00,32.22,32.23,31.77,36355,32.15,7301562,32.042658
2016-03-14 04:00:00+00:00,32.3,32.43,31.92,30342,32.07,5370814,32.253937
2016-03-15 04:00:00+00:00,32.14,32.34,31.57,32119,32.13,6011726,31.954543
2016-03-16 04:00:00+00:00,33.1,33.21,31.75,63884,31.9,9409683,32.749917
2016-03-17 04:00:00+00:00,32.82,33.14,32.3739,47294,32.98,9560564,32.779588
2016-03-18 04:00:00+00:00,33.81,34.25,33.0,67360,33.21,15313591,33.80034
2016-03-21 04:00:00+00:00,33.91,33.92,33.15,42544,33.51,8887895,33.679427
2016-03-22 04:00:00+00:00,33.85,34.085,33.43,31234,33.8,6591819,33.883417
2016-03-23 04:00:00+00:00,34.43,34.68,33.85,61434,34.0,11068486,34.399804
2016-03-24 04:00:00+00:00,34.48,34.54,34.01,37771,34.12,6650104,34.396752
2016-03-28 04:00:00+00:00,34.83,34.98,34.38,36938,34.42,6863093,34.76915
2016-03-29 04:00:00+00:00,35.39,35.47,34.6,40041,34.68,6785727,35.160541
2016-03-30 04:00:00+00:00,35.76,36.25,35.5,51453,35.52,9768032,35.864524
2016-03-31 04:00:00+00:00,35.63,36.0,35.35,44057,35.92,9947032,35.663358
2016-04-01 04:00:00+00:00,36.15,36.17,35.14,39365,35.41,9163873,35.918784
2016-04-04 04:00:00+00:00,35.8,36.64,35.66,48172,36.45,10567398,35.976829
2016-04-05 04:00:00+00:00,35.75,36.08,35.34,42274,35.48,9041086,35.821187
2016-04-06 04:00:00+00:00,35.8,35.82,34.63,59155,35.3,11671989,35.476234
2016-04-07 04:00:00+00:00,35.43,35.89,35.28,54118,35.57,9845495,35.534652
2016-04-08 04:00:00+00:00,35.66,35.95,35.305,36193,35.72,6836178,35.656455
2016-04-11 04:00:00+00:00,35.88,36.47,35.76,48558,35.87,10645147,36.034758
2016-04-12 04:00:00+00:00,35.84,36.05,35.14,48383,36.0,7702916,35.699378
2016-04-13 04:00:00+00:00,36.74,36.75,36.0,52657,36.0,9023326,36.456308
2016-04-14 04:00:00+00:00,36.84,37.0,36.49,58750,36.64,11363193,36.797275
2016-04-15 04:00:00+00:00,37.13,37.46,36.712,63754,36.83,11612592,37.11842
2016-04-18 04:00:00+00:00,36.97,37.06,36.61,51776,37.04,8402201,36.896079
2016-04-19 04:00:00+00:00,36.31,37.18,36.08,48995,37.11,8070791,36.416803
2016-04-20 04:00:00+00:00,36.45,36.67,36.21,36307,36.25,5281633,36.486779
2016-04-21 04:00:00+00:00,36.41,36.63,36.25,30683,36.46,4639178,36.458911
2016-04-22 04:00:00+00:00,36.27,36.78,36.145,39130,36.53,6199679,36.342752
2016-04-25 04:00:00+00:00,36.45,36.65,36.18,32817,36.28,5392954,36.445151
2016-04-26 04:00:00+00:00,36.48,37.09,36.32,36388,36.67,5611474,36.607213
2016-04-27 04:00:00+00:00,37.31,37.33,36.323,50968,36.39,9896344,36.980442
2016-04-28 04:00:00+00:00,36.2,37.3,36.11,55155,37.08,10001350,36.626217
2016-04-29 04:00:00+00:00,35.53,36.13,35.14,55050,36.05,8774939,35.475605
2016-05-02 04:00:00+00:00,36.0,36.22,35.7,44168,35.87,6718300,35.921827
2016-05-03 04:00:00+00:00,35.57,35.74,35.261,41350,35.59,5808710,35.523347
2016-05-04 04:00:00+00:00,34.76,35.17,34.4,70343,35.14,13525200,34.737759
2016-05-05 04:00:00+00:00,34.97,35.38,34.71,41234,35.05,6615721,35.052803
2016-05-06 04:00:00+00:00,35.33,35.425,34.84,32799,34.91,4779664,35.140961
2016-05-09 04:00:00+00:00,35.28,35.57,34.99,53892,35.42,8871071,35.278272
2016-05-10 04:00:00+00:00,35.96,36.02,35.16,47287,35.5,6994328,35.810235
2016-05-11 04:00:00+00:00,36.06,36.46,35.87,46449,36.07,9653590,36.121196
2016-05-12 04:00:00+00:00,35.57,36.48,34.93,88830,36.32,18020074,35.463064
2016-05-13 04:00:00+00:00,40.98,41.0,39.0,263989,39.19,54517525,40.232065
2016-05-16 04:00:00+00:00,42.19,42.8,40.54,136178,40.67,24808028,42.072213
2016-05-17 04:00:00+00:00,42.28,42.58,41.4601,86319,42.0,16589683,42.148616
2016-05-18 04:00:00+00:00,43.36,43.85,42.0,81601,42.0,13940284,43.256805
